Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS_Login_Logout,,,,2021-10-11 13:44:35,2021-10-11 13:45:23,"48,130s",PASSED
,,,,,,,
Test Cases/AD_Login/TC_Login,,,,2021-10-11 13:44:36,2021-10-11 13:45:18,"42,237s",PASSED
"startApplication(""C:\Users\Riza\Downloads\Alodokter_user_v3.6.0_staging_debug_300921_1624.apk"", false)",,,,2021-10-11 13:44:36,2021-10-11 13:45:06,"29,385s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk menggunakan Email""), 0)",,,,2021-10-11 13:45:06,2021-10-11 13:45:07,"1,158s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Email""), ""autouser3thsize@mail.com"", 0)",,,,2021-10-11 13:45:07,2021-10-11 13:45:09,"2,489s",PASSED
"setText(findTestObject(""spy/android.widget.EditText - Kata Sandi""), ""123456"", 0)",,,,2021-10-11 13:45:09,2021-10-11 13:45:11,"1,810s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Masuk""), 0)",,,,2021-10-11 13:45:11,2021-10-11 13:45:12,"0,869s",PASSED
"tap(findTestObject(""spy/android.widget.ImageView""), 0)",,,,2021-10-11 13:45:12,2021-10-11 13:45:18,"5,747s",PASSED
,,,,,,,
Test Cases/AD_Logout/TC_Logout,,Test Case Function Logout,,2021-10-11 13:45:18,2021-10-11 13:45:23,"5,292s",PASSED
device_Height = getDeviceHeight(),,Get Device Height and Store in device_height variable,,2021-10-11 13:45:18,2021-10-11 13:45:19,"0,452s",PASSED
device_Width = getDeviceWidth(),,Get Width Height and Store in device_Width variable,,2021-10-11 13:45:19,2021-10-11 13:45:19,"0,379s",PASSED
startX = device_Width / 2,,Storing the startX value by dividing device width by 2. Because x coordinates are constant for Vertical Swiping,,2021-10-11 13:45:19,2021-10-11 13:45:19,"0,005s",PASSED
endX = startX,,Here startX and endX values are equal for vertical Swiping for that assigning startX value to endX,,2021-10-11 13:45:19,2021-10-11 13:45:19,"0,001s",PASSED
startY = device_Height * 0.30,,Storing the startY value,,2021-10-11 13:45:19,2021-10-11 13:45:19,"0,003s",PASSED
endY = device_Height * 0.70,,Storing the endY value,,2021-10-11 13:45:19,2021-10-11 13:45:19,"0,001s",PASSED
"swipe(startX, endY, endX, startY)",,Swipe Vertical from top to bottom,,2021-10-11 13:45:19,2021-10-11 13:45:21,"1,410s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Keluar""), 0)",,,,2021-10-11 13:45:21,2021-10-11 13:45:21,"0,551s",PASSED
"tap(findTestObject(""spy/android.widget.TextView - Ya""), 0)",,,,2021-10-11 13:45:21,2021-10-11 13:45:22,"1,110s",PASSED
closeApplication(),,,,2021-10-11 13:45:22,2021-10-11 13:45:23,"0,803s",PASSED
